"HO","DO","HR","DR","PHI"
2.00,4.00,6.00,1.00,0.00
2.00,4.00,6.00,2.00,0.00
2.00,4.00,6.00,3.00,0.00
2.00,4.00,6.00,5.00,0.00
2.00,4.00,6.00,6.00,0.00
2.00,4.00,6.00,4.00,0.01
2.00,4.00,7.00,1.00,0.00
2.00,4.00,7.00,2.00,0.00
2.00,4.00,7.00,3.00,0.00
2.00,4.00,7.00,4.00,0.00
2.00,4.00,7.00,5.00,0.00
2.00,4.00,7.00,6.00,0.00
2.00,4.00,8.00,1.00,0.00
2.00,4.00,8.00,2.00,0.00
2.00,4.00,8.00,3.00,0.00
2.00,4.00,8.00,4.00,0.00
2.00,4.00,8.00,5.00,0.00
2.00,4.00,8.00,6.00,0.00
2.00,5.00,1.00,1.00,0.00
2.00,5.00,1.00,2.00,0.00
2.00,5.00,1.00,3.00,0.00
2.00,5.00,1.00,4.00,0.00
2.00,5.00,1.00,6.00,0.00
2.00,5.00,1.00,5.00,0.05
2.00,5.00,2.00,1.00,0.00
2.00,5.00,2.00,2.00,0.00
2.00,5.00,2.00,3.00,0.00
2.00,5.00,2.00,4.00,0.00
2.00,5.00,2.00,6.00,0.03
2.00,5.00,2.00,5.00,0.86
2.00,5.00,3.00,1.00,0.00
2.00,5.00,3.00,2.00,0.00
2.00,5.00,3.00,3.00,0.00
2.00,5.00,3.00,4.00,0.00
2.00,5.00,3.00,5.00,0.00
2.00,5.00,3.00,6.00,0.00
2.00,5.00,4.00,1.00,0.00
2.00,5.00,4.00,2.00,0.00
2.00,5.00,4.00,3.00,0.00
2.00,5.00,4.00,4.00,0.00
2.00,5.00,4.00,6.00,0.00
2.00,5.00,4.00,5.00,0.04
2.00,5.00,5.00,1.00,0.00
2.00,5.00,5.00,2.00,0.00
2.00,5.00,5.00,3.00,0.00
2.00,5.00,5.00,4.00,0.00
2.00,5.00,5.00,5.00,0.00
2.00,5.00,5.00,6.00,0.00
2.00,5.00,6.00,1.00,0.00
2.00,5.00,6.00,2.00,0.00
2.00,5.00,6.00,3.00,0.00
2.00,5.00,6.00,4.00,0.00
2.00,5.00,6.00,6.00,0.00
2.00,5.00,6.00,5.00,0.01
2.00,5.00,7.00,1.00,0.00
2.00,5.00,7.00,2.00,0.00
2.00,5.00,7.00,3.00,0.00
2.00,5.00,7.00,4.00,0.00
2.00,5.00,7.00,5.00,0.00
2.00,5.00,7.00,6.00,0.00
2.00,5.00,8.00,1.00,0.00
2.00,5.00,8.00,2.00,0.00
2.00,5.00,8.00,3.00,0.00
2.00,5.00,8.00,4.00,0.00
2.00,5.00,8.00,5.00,0.00
2.00,5.00,8.00,6.00,0.00
2.00,6.00,1.00,1.00,0.00
2.00,6.00,1.00,2.00,0.00
2.00,6.00,1.00,3.00,0.00
2.00,6.00,1.00,4.00,0.00
2.00,6.00,1.00,5.00,0.00
2.00,6.00,1.00,6.00,0.03
2.00,6.00,2.00,1.00,0.00
2.00,6.00,2.00,2.00,0.00
2.00,6.00,2.00,5.00,0.00
2.00,6.00,2.00,3.00,0.01
2.00,6.00,2.00,4.00,0.02
2.00,6.00,2.00,6.00,0.89
2.00,6.00,3.00,1.00,0.00
2.00,6.00,3.00,2.00,0.00
2.00,6.00,3.00,3.00,0.00
2.00,6.00,3.00,4.00,0.00
2.00,6.00,3.00,5.00,0.00
2.00,6.00,3.00,6.00,0.00
2.00,6.00,4.00,1.00,0.00
2.00,6.00,4.00,2.00,0.00
2.00,6.00,4.00,3.00,0.00
2.00,6.00,4.00,4.00,0.00
2.00,6.00,4.00,5.00,0.00
2.00,6.00,4.00,6.00,0.00
2.00,6.00,5.00,1.00,0.00
2.00,6.00,5.00,2.00,0.00
2.00,6.00,5.00,3.00,0.00
2.00,6.00,5.00,4.00,0.00
2.00,6.00,5.00,5.00,0.00
2.00,6.00,5.00,6.00,0.00
2.00,6.00,6.00,1.00,0.00
2.00,6.00,6.00,2.00,0.00
2.00,6.00,6.00,3.00,0.00
2.00,6.00,6.00,4.00,0.00
2.00,6.00,6.00,5.00,0.00
2.00,6.00,6.00,6.00,0.02
2.00,6.00,7.00,1.00,0.00
2.00,6.00,7.00,2.00,0.00
2.00,6.00,7.00,3.00,0.00
2.00,6.00,7.00,4.00,0.00
2.00,6.00,7.00,5.00,0.00
2.00,6.00,7.00,6.00,0.00
2.00,6.00,8.00,1.00,0.00
2.00,6.00,8.00,2.00,0.00
2.00,6.00,8.00,3.00,0.00
2.00,6.00,8.00,4.00,0.00
2.00,6.00,8.00,5.00,0.00
2.00,6.00,8.00,6.00,0.00
3.00,1.00,1.00,1.00,0.00
3.00,1.00,1.00,2.00,0.00
3.00,1.00,1.00,3.00,0.00
3.00,1.00,1.00,4.00,0.00
3.00,1.00,1.00,5.00,0.00
3.00,1.00,1.00,6.00,0.00
3.00,1.00,2.00,1.00,0.00
3.00,1.00,2.00,2.00,0.00
3.00,1.00,2.00,3.00,0.00
3.00,1.00,2.00,4.00,0.00
3.00,1.00,2.00,5.00,0.00
3.00,1.00,2.00,6.00,0.00
3.00,1.00,3.00,4.00,0.00
3.00,1.00,3.00,5.00,0.00
3.00,1.00,3.00,6.00,0.00
3.00,1.00,3.00,1.00,0.20
3.00,1.00,3.00,3.00,0.21
3.00,1.00,3.00,2.00,0.53
3.00,1.00,4.00,4.00,0.00
3.00,1.00,4.00,5.00,0.00
3.00,1.00,4.00,6.00,0.00
3.00,1.00,4.00,3.00,0.01
3.00,1.00,4.00,1.00,0.01
3.00,1.00,4.00,2.00,0.02
3.00,1.00,5.00,1.00,0.00
3.00,1.00,5.00,2.00,0.00
3.00,1.00,5.00,3.00,0.00
3.00,1.00,5.00,4.00,0.00
3.00,1.00,5.00,5.00,0.00
3.00,1.00,5.00,6.00,0.00
3.00,1.00,6.00,1.00,0.00
3.00,1.00,6.00,2.00,0.00
3.00,1.00,6.00,3.00,0.00
3.00,1.00,6.00,4.00,0.00
3.00,1.00,6.00,5.00,0.00
3.00,1.00,6.00,6.00,0.00
3.00,1.00,7.00,1.00,0.00
3.00,1.00,7.00,2.00,0.00
3.00,1.00,7.00,3.00,0.00
3.00,1.00,7.00,4.00,0.00
3.00,1.00,7.00,5.00,0.00
3.00,1.00,7.00,6.00,0.00
3.00,1.00,8.00,1.00,0.00
3.00,1.00,8.00,2.00,0.00
3.00,1.00,8.00,3.00,0.00
3.00,1.00,8.00,4.00,0.00
3.00,1.00,8.00,5.00,0.00
3.00,1.00,8.00,6.00,0.00
3.00,2.00,1.00,1.00,0.00
3.00,2.00,1.00,2.00,0.00
3.00,2.00,1.00,3.00,0.00
3.00,2.00,1.00,4.00,0.00
3.00,2.00,1.00,5.00,0.00
3.00,2.00,1.00,6.00,0.00
3.00,2.00,2.00,1.00,0.00
3.00,2.00,2.00,2.00,0.00
3.00,2.00,2.00,3.00,0.00
3.00,2.00,2.00,4.00,0.00
3.00,2.00,2.00,5.00,0.00
3.00,2.00,2.00,6.00,0.00
3.00,2.00,3.00,1.00,0.00
3.00,2.00,3.00,4.00,0.00
3.00,2.00,3.00,5.00,0.00
3.00,2.00,3.00,6.00,0.00
3.00,2.00,3.00,3.00,0.12
3.00,2.00,3.00,2.00,0.83
3.00,2.00,4.00,1.00,0.00
3.00,2.00,4.00,4.00,0.00
3.00,2.00,4.00,5.00,0.00
3.00,2.00,4.00,6.00,0.00
3.00,2.00,4.00,2.00,0.01
3.00,2.00,4.00,3.00,0.02
3.00,2.00,5.00,1.00,0.00
3.00,2.00,5.00,2.00,0.00
3.00,2.00,5.00,3.00,0.00
3.00,2.00,5.00,4.00,0.00
