Unique_ID,RSI_Site,Time,Vehicle_Type ,Vehicle_Occupancy,Origin_Postcode,Origin_Purpose,Destination_Postcode,Destination_Purpose,OriginX,OriginY,DestinationX,DestinationY,BlackcatOrig,BlackCatDest
18325,StNeots-RSI-3,8:00,CAR,1,PE192GE,HOME,PE191JN,SHOPS,517945,258666,492166,237744,33187,81015
18326,StNeots-RSI-3,7:30,CAR,2,PE192GF,HOME,CB12JY,EMPLOYERS BUSINESS,518009,258655,528594,181320,33187,70021
18327,StNeots-RSI-3,8:00,CAR,1,PE192GF,HOME,PE196TA,WORKPLACE (YOUR BASE),518009,258655,528594,181320,33187,70021
18328,StNeots-RSI-3,7:00,CAR,1,PE192GF,HOME,W1G0EF,EMPLOYERS BUSINESS,518009,258655,528594,181320,33187,70021
18329,StNeots-RSI-3,17:00,CAR,1,PE192GG,HOME,PE192AR,SHOPS,518082,258509,518193,260268,33187,33212
18330,StNeots-RSI-3,8:00,CAR,1,PE192HA,HOME,PE191AS,WORKPLACE (YOUR BASE),518316,258588,518459,260336,33187,33212
18331,StNeots-RSI-3,15:30,CAR,1,PE192HA,SOCIAL/LEISURE PURPOSES,PE191LN,HOME,518316,258588,518459,260336,33187,33212
18332,StNeots-RSI-3,8:30,CAR,1,PE192HA,HOME,PE192DA,WORKPLACE (YOUR BASE),518316,258588,518459,260336,33187,33212
18333,StNeots-RSI-4,10:30,CAR,1,PE192HA,WORKPLACE (YOUR BASE),PE198BB,PERSONAL BUSINESS,518316,258588,518459,260336,33187,33212
18334,StNeots-RSI-3,8:00,CAR,2,PE192HA,HOME,PE26WA,WORKPLACE (YOUR BASE),518316,258588,518459,260336,33187,33212
18335,StNeots-RSI-3,8:30,CAR,3,PE192HD,HOME,PE192TD,HOME,518263,258564,524368,273490,33187,32861
18336,StNeots-RSI-3,12:30,CAR,1,PE192HD,EMPLOYERS BUSINESS,PE198BB,EMPLOYERS BUSINESS,518263,258564,524368,273490,33187,32861
18337,StNeots-RSI-4,14:30,CAR,3,PE192HD,HOME,PE198JF,PERSONAL BUSINESS,518263,258564,524368,273490,33187,32861
18338,StNeots-RSI-3,8:30,CAR,3,PE192HE,HOME,PE191DZ,SCHOOL/COLLEGE/UNI,518323,258512,545858,261790,33187,32961
18339,StNeots-RSI-3,8:00,CAR,1,PE192HE,HOME,PE195XR,SOCIAL/LEISURE PURPOSES,518323,258512,545858,261790,33187,32961
18340,StNeots-RSI-3,8:00,CAR,3,PE192HE,HOME,PE197AB,SCHOOL/COLLEGE/UNI,518323,258512,545858,261790,33187,32961
18341,StNeots-RSI-8 W,11:30,CAR,1,PE192HE,PERSONAL BUSINESS,PE197LN,HOME,518323,258512,545858,261790,33187,32961
18342,StNeots-RSI-3,8:30,CAR,2,PE192HG,HOME,PE197GG,SCHOOL/COLLEGE/UNI,518340,258646,517368,260754,33187,33202
18343,StNeots-RSI-3,15:00,CAR,1,PE192HG,HOME,PE197GG,SCHOOL/COLLEGE/UNI,518340,258646,517368,260754,33187,33202
18344,StNeots-RSI-8 W,15:00,CAR,1,PE192HG,HOME,PE197GG,SCHOOL/COLLEGE/UNI,518340,258646,517368,260754,33187,33202
18345,StNeots-RSI-8 W,8:30,CAR,2,PE192HG,HOME,PE198EJ,SCHOOL/COLLEGE/UNI,518340,258646,517368,260754,33187,33202
18346,StNeots-RSI-3,11:00,CAR,1,PE192HH,HOME,PE191AA,SHOPS,518341,258715,517026,258019,33184,33176
18347,StNeots-RSI-7,8:30,CAR,1,PE192HH,HOME,PE197GE,HOME,518341,258715,517026,258019,33184,33176
18348,StNeots-RSI-8 W,13:00,CAR,3,PE192HH,HOME,PE197GE,SOCIAL/LEISURE PURPOSES,518341,258715,517026,258019,33184,33176
18349,StNeots-RSI-3,8:00,CAR,5,PE192HH,HOME,PE198ER,SCHOOL/COLLEGE/UNI,518341,258715,517026,258019,33184,33176
18350,StNeots-RSI-3,7:30,CAR,2,PE192HJ,#N/A,MK419RX,WORKPLACE (YOUR BASE),518347,258470,507095,249518,33187,32317
18351,StNeots-RSI-4,12:00,CAR,3,PE192HN,WORKPLACE (YOUR BASE),PE197DB,SOCIAL/LEISURE PURPOSES,519190,259563,545482,259264,33183,32773
18352,StNeots-RSI-8 W,11:30,CAR,2,PE192HN,WORKPLACE (YOUR BASE),PE197DB,SOCIAL/LEISURE PURPOSES,519190,259563,545482,259264,33183,32773
18353,StNeots-RSI-8 W,12:00,CAR,2,PE192HN,WORKPLACE (YOUR BASE),PE197DB,HOTEL OR B&B,519190,259563,545482,259264,33183,32773
18354,StNeots-RSI-8 W,11:30,CAR,1,PE192HN,EMPLOYERS BUSINESS,PE198EQ,SOCIAL/LEISURE PURPOSES,519190,259563,545482,259264,33183,32773
18355,StNeots-RSI-4,18:30,#N/A,0,PE192HN,WORKPLACE (YOUR BASE),PE198PJ,HOME,519190,259563,545482,259264,33183,32773
18356,StNeots-RSI-8 W,14:30,CAR,1,PE192HP,EMPLOYERS BUSINESS,PE195DH,HOME,518843,259257,513671,265640,33182,32936
18357,StNeots-RSI-3,8:30,CAR,3,PE192HU,HOME,PE192DA,SCHOOL/COLLEGE/UNI,518164,258578,522689,271503,33187,32863
18358,StNeots-RSI-3,12:00,CAR,1,PE192HX,HOME,AL71TW,EMPLOYERS BUSINESS,518195,258669,518571,259622,33187,33181
18359,StNeots-RSI-3,8:30,CAR,1,PE192HX,HOME,PE192ND,SHOPS,518195,258669,518571,259622,33187,33181
18360,StNeots-RSI-4,16:00,CAR,3,PE192JA,HOME,MK442NU,SOCIAL/LEISURE PURPOSES,518676,259488,539416,286010,33181,60336
18361,StNeots-RSI-3,9:00,CAR,2,PE192JA,HOME,PE198BP,PERSONAL BUSINESS,518676,259488,539416,286010,33181,60336
18362,StNeots-RSI-3,9:00,CAR,1,PE192JE,HOME,PE192SA,HOME,518855,259392,523974,271909,33182,32863
18363,StNeots-RSI-3,17:30,CAR,1,PE192JE,HOME,PE192SA,SHOPS,518855,259392,523974,271909,33182,32863
18364,StNeots-RSI-8 E,18:00,CAR,1,PE192JE,HOME,PE196SN,SOCIAL/LEISURE PURPOSES,518855,259392,523974,271909,33182,32863
18365,StNeots-RSI-3,10:30,CAR,5,PE192JF,HOME,PE191DZ,PERSONAL BUSINESS,518917,259345,546549,255140,33182,32702
18366,StNeots-RSI-3,16:30,CAR,1,PE192JH,WORKPLACE (YOUR BASE),SG191QY,HOME,519047,259221,523708,271960,33182,32863
18367,StNeots-RSI-3,11:00,CAR,2,PE192JN,HOME,CB63BW,HOME,517918,258591,552836,279937,33187,60303
18368,StNeots-RSI-3,12:00,CAR,1,PE192JN,HOME,PE192SA,SHOPS,517918,258591,552836,279937,33187,60303
18369,StNeots-RSI-3,7:30,CAR,1,PE192JP,HOME,SG192PG,WORKPLACE (YOUR BASE),518125,258753,521736,249594,33184,31813
18370,StNeots-RSI-3,15:30,CAR,1,PE192JR,HOME,PE192BH,SOCIAL/LEISURE PURPOSES,518953,259145,523967,271843,33182,32863
18371,StNeots-RSI-3,17:00,CAR,1,PE192JS,HOME,PE191QF,AIRPORT/ FERRY TERMINAL,518126,258690,518389,259955,33187,33181
18372,StNeots-RSI-3,11:30,CAR,2,PE192JS,EMPLOYERS BUSINESS,PE192TA,EMPLOYERS BUSINESS,518126,258690,518389,259955,33187,33181
18373,StNeots-RSI-3,9:30,MOTORCYCLE,5,PE192JT,HOME,PE191BL,EMPLOYERS BUSINESS,518039,258626,522564,272105,33187,32863
18374,StNeots-RSI-3,13:30,CAR,2,PE192JT,HOME,PE191RJ,PERSONAL BUSINESS,518039,258626,522564,272105,33187,32863
18375,StNeots-RSI-3,7:00,CAR,1,PE192JT,HOME,PE192EU,WORKPLACE (YOUR BASE),518039,258626,522564,272105,33187,32863
18376,StNeots-RSI-3,13:00,CAR,1,PE192JT,HOME,PE192HX,SHOPS,518039,258626,522564,272105,33187,32863
18377,StNeots-RSI-4,10:00,CAR,1,PE192JT,HOME,PE197AU,SOCIAL/LEISURE PURPOSES,518039,258626,522564,272105,33187,32863
18378,StNeots-RSI-3,14:30,CAR,2,PE192JT,HOME,PE197GG,SCHOOL/COLLEGE/UNI,518039,258626,522564,272105,33187,32863
18379,StNeots-RSI-3,8:30,CAR,1,PE192JU,HOME,PE191BH,WORKPLACE (YOUR BASE),518243,258719,518909,262359,33184,32903
18380,StNeots-RSI-3,11:30,CAR,1,PE192JU,HOME,PE191LJ,SOCIAL/LEISURE PURPOSES,518243,258719,518909,262359,33184,32903
18381,StNeots-RSI-3,11:00,CAR,1,PE192JU,SOCIAL/LEISURE PURPOSES,PE192EF,HOME,518243,258719,518909,262359,33184,32903
18382,StNeots-RSI-8 W,11:00,CAR,2,PE192JU,SHOPS,PE195JX,HOME,518243,258719,518909,262359,33184,32903
18383,StNeots-RSI-1,9:00,CAR,1,PE192JU,HOME,PE196NG,WORKPLACE (YOUR BASE),518243,258719,518909,262359,33184,32903
18384,StNeots-RSI-3,7:30,CAR,1,PE192JU,HOME,PE275BB,EMPLOYERS BUSINESS,518243,258719,518909,262359,33184,32903
18385,StNeots-RSI-3,8:30,CAR,2,PE192JX,HOME,PE191LQ,SCHOOL/COLLEGE/UNI,518108,258652,519469,260798,33187,33221
18386,StNeots-RSI-3,8:30,CAR,1,PE192JY,HOME,PE191QL,EMPLOYERS BUSINESS,518176,258681,519465,260169,33187,33191
18387,StNeots-RSI-5,13:30,CAR,1,PE192JY,HOME,PE280AW,PERSONAL BUSINESS,518176,258681,519465,260169,33187,33191
18388,StNeots-RSI-4,17:30,CAR,1,PE192LY,WORKPLACE (YOUR BASE),PE197GZ,HOME,518767,260870,517119,260530,33213,33202
18389,StNeots-RSI-3,10:30,CAR,1,PE192NA,HOME,PE198GW,HOME,518426,259848,517259,258827,33181,33174
18390,StNeots-RSI-3,16:00,CAR,1,PE192NA,PERSONAL BUSINESS,SG189NB,HOME,518426,259848,517259,258827,33181,33174
18391,StNeots-RSI-8 W,7:00,CAR,1,PE192NB,HOME,AL109BW,WORKPLACE (YOUR BASE),518508,259727,521815,209314,33181,60079
18392,StNeots-RSI-8 W,8:30,CAR,1,PE192NB,HOME,PE293LQ,WORKPLACE (YOUR BASE),518508,259727,521815,209314,33181,60079
18393,StNeots-RSI-3,12:30,CAR,1,PE192ND,HOME,CB215DP,SOCIAL/LEISURE PURPOSES,518571,259622,551320,256286,33181,32971
18394,StNeots-RSI-4,8:00,CAR,1,PE192ND,HOME,MK409TF,EMPLOYERS BUSINESS,518571,259622,551320,256286,33181,32971
18395,StNeots-RSI-4,11:30,CAR,1,PE192NG,PERSONAL BUSINESS,PE197LS,PERSONAL BUSINESS,518693,259266,517158,258442,33182,33176
18396,StNeots-RSI-3,12:30,CAR,3,PE192NG,HOME,PE198ET,WORKPLACE (YOUR BASE),518693,259266,517158,258442,33182,33176
